Transaction Date,Description,Amount
11/22/2018,AUTOMATIC PAYMENT - THANK YOU,-526.61
10/25/2018,MINAR NEW YORK NY,10.34
10/25/2018,PANDA PAVILLION III IN GREENWICH CT,14.90
10/27/2018,RYE PERIODONTICS AND IMPL RYE BROOK NY,58.00
10/27/2018,MCDONALD'S F748 GREENWICH CT,5.41
10/28/2018,H MART HARTSDALE HARTSDALE NY,12.45
10/27/2018,MCDONALD'S F748 GREENWICH CT,1.06
10/29/2018,PANDA PAVILLION III IN GREENWICH CT,14.90
10/29/2018,NYCDOT PARKING METERS LONG IS CITY NY,3.25
10/30/2018,MCDONALD'S F6971 NEW YORK NY,5.43
10/28/2018,GYU-KAKU RESTAURANT WHITE PLAINS NY,59.22
11/02/2018,MTA*MNR ETIX TICKET 877-690-5116 NY,41.00
11/02/2018,MCDONALD'S F748 GREENWICH CT,6.48
11/02/2018,MCDONALD'S F748 GREENWICH CT,1.06
11/04/2018,H MART HARTSDALE HARTSDALE NY,2.97
11/03/2018,MCDONALD'S F748 GREENWICH CT,1.06
11/04/2018,SHAKE SHACK - 1210 HARTSDALE NY,26.39
11/10/2018,MCDONALD'S F748 GREENWICH CT,5.41
11/09/2018,MINAR NEW YORK NY,10.34
11/10/2018,MCDONALD'S F748 GREENWICH CT,1.06
11/13/2018,PANDA PAVILLION III IN GREENWICH CT,12.80
11/11/2018,AMERICAN STEAKHOUSE - NORWALK CT,29.76
11/15/2018,CT NATURAL GAS 860-524-8361 CT,82.04
11/17/2018,MCDONALD'S F748 GREENWICH CT,6.16
11/16/2018,MINAR NEW YORK NY,10.34
11/18/2018,H MART HARTSDALE HARTSDALE NY,6.46
11/17/2018,MCDONALD'S F3345 RIVERSIDE CT,5.41
11/17/2018,MCDONALD'S F3345 RIVERSIDE CT,1.06
11/18/2018,GYROWORLD FLUSHING NY,50.10
11/20/2018,MINAR NEW YORK NY,10.34
11/21/2018,JEUNESSE GLOBAL 321-2757200 FL,91.95
11/21/2018,POLLO A LA BRASA MISTI RE PORT CHESTER NY,10.74
09/13/2018,AUTOMATIC PAYMENT - THANK YOU,-140.72
08/27/2018,EZPASS PREPAID TOLL 800-333-8655 NY,25.00
08/27/2018,CATHAYPACAIR1607127365648 877-6092233 CA,721.91
12/03/2023,TRADER JOE S #522 DARIEN CT,78.21
12/10/2023,H MART HARTSDALE LLC HARTSDALE NY,13.46
12/10/2023,TRADER JOE S #533 HARTSDALE NY,67.65
05/13/2020,AUTOMATIC PAYMENT - THANK YOU,-184.90
04/26/2020,TMOBILE*AUTO PAY 800-937-8997 WA,184.91
03/22/2018,AUTOMATIC PAYMENT - THANK YOU,-4605.52
02/28/2018,SHOPRITE CMMERCE ST S1 STAMFORD CT,29.55
02/28/2018,EXAM CU SCIENCE HONORS PR 212-8543379 NY,30.00
03/03/2018,SQ *EL PATRON Port Chester NY,24.70
03/02/2018,METRO-NORTH-MOBILE TICKE 877-690-5114 NY,41.00
03/03/2018,AMERICAN STEAKHOUSE - NORWALK CT,44.64
03/04/2018,CENTRAL SEAFOOD HARTSDALE NY,51.75
03/02/2018,Jeunesse 321-2757171 FL,537.84
03/04/2018,H MART HARTSDALE HARTSDALE NY,70.31
03/09/2018,Yellowtail Hibachi & Sush STAMFORD CT,9.51
03/11/2018,GYU-KAKU RESTAURANT WHITE PLAINS NY,61.48
03/14/2018,CONNECTICUT NATURAL U0A 860-5248361 CT,130.01
03/15/2018,CVS/PHARMACY #06702 GREENWICH CT,1.62
03/18/2018,CENTRAL SEAFOOD HARTSDALE NY,41.85
03/17/2018,AMERICAN STEAKHOUSE - NORWALK CT,44.64
03/20/2018,MTA MVM*N045-81 ST-MUSE NEW YORK NY,3.00
03/21/2018,Yellowtail Hibachi & Sush STAMFORD CT,38.26
03/23/2018,SQ *BIBBLE & SIP New York NY,15.24
10/13/2019,AUTOMATIC PAYMENT - THANK YOU,-25.45
09/22/2019,COLLEGEBOARD*SAT ONLN. 212-7137789 NY,64.50
10/02/2019,AP Exam TotalReg 800-9742187 CO,294.00
07/22/2021,AUTOMATIC PAYMENT - THANK YOU,-281.20
06/26/2021,SHOPRITE CMMERCE ST S1 STAMFORD CT,32.53
07/04/2021,H MART - HARTSDALE HARTSDALE NY,74.29
07/04/2021,TRADER JOE'S #533  QPS HARTSDALE NY,42.29
02/27/2022,AUTOMATIC PAYMENT - THANK YOU,-946.89
02/04/2022,CVS/PHARMACY #01280 GREENWICH CT,19.81
02/05/2022,TOYOTA OF GREENWICH COS COB CT,79.77
02/13/2022,DUNKIN #302601 Q35 GREENWICH CT,.62
02/14/2022,CT NATURAL GAS 860-524-8361 CT,335.56
02/20/2022,ACME 2497 RIVERSIDE CT,1.26
02/26/2022,TMOBILE*AUTO PAY 800-937-8997 WA,160.27
02/27/2022,5GUYS 1476 QSR STAMFORD CT,7.83
03/01/2022,AMZN Mktp US*1W7ML80N1 Amzn.com/bill WA,116.96
11/27/2023,AUTOMATIC PAYMENT - THANK YOU,-2719.31
11/03/2023,McDonalds 3345 120-3637859 CT,6.00
11/05/2023,McDonalds 748 120-3302329 CT,6.11
11/05/2023,COSTCO WHSE #0324 NORWALK CT,6.42
11/05/2023,COSTCO WHSE #0324 NORWALK CT,62.93
11/05/2023,AMERICAN STEAKHOUSE - NORWALK CT,37.55
11/05/2023,TRADER JOE S #522 DARIEN CT,45.85
11/08/2023,OPENAI HTTPSOPENAI.C CA,.88
11/10/2023,McDonalds 3345 120-3637859 CT,6.22
11/11/2023,COSTCO WHSE #0326 PORT CHESTER NY,3.25
11/10/2023,COSTCO WHSE #0326 PORT CHESTER NY,3.24
11/12/2023,SQ *H MART HARTSDALE Armonk NY,32.49
11/12/2023,COSTCO WHSE #0326 PORT CHESTER NY,6.48
11/12/2023,H MART HARTSDALE LLC HARTSDALE NY,18.95
11/12/2023,McDonalds 748 120-3302329 CT,6.11
11/13/2023,CHATGPT SUBSCRIPTION HTTPSOPENAI.C CA,21.27
11/12/2023,TRADER JOE S #533 HARTSDALE NY,47.07
11/15/2023,CVS/PHARMACY #01280 GREENWICH CT,139.00
11/17/2023,TRADER JOE S #529 STAMFORD CT,11.46
11/17/2023,5GUYS 1476 ECOMM STAMFORD CT,12.44
11/19/2023,TANDOORI PORT CHESTER NY,49.85
11/19/2023,McDonalds 748 120-3302329 CT,6.11
11/20/2023,DOMINOS 4036 COS COB CT,15.01
11/22/2023,COSTCO WHSE #0326 PORT CHESTER NY,3.25
11/22/2023,COSTCO WHSE #0326 PORT CHESTER NY,27.50
11/24/2023,TRADER JOE S #533 HARTSDALE NY,66.69
11/25/2023,SHOPRITE CMMERCE ST S1 STAMFORD CT,15.51
11/24/2023,SQ *H MART HARTSDALE Armonk NY,32.49
11/24/2023,H MART HARTSDALE LLC HARTSDALE NY,14.99
11/25/2023,FUJI MART STAMFORD CT,8.68
11/26/2023,TMOBILE*AUTO PAY 800-937-8997 WA,266.50
01/13/2021,AUTOMATIC PAYMENT - THANK YOU,-602.13
12/31/2020,GEORGIA INST  TECHN 508-235-2833 CT,75.00
01/02/2021,NEW YORK UNIV 617-454-6707 CT,80.00
01/06/2021,COLLEGEBOARD*SAT ONLN. 212-7137789 NY,12.00
01/10/2021,COLLEGEBOARD*SAT ONLN. 212-7137789 NY,12.00
01/13/2022,AUTOMATIC PAYMENT - THANK YOU,-38.25
12/18/2021,UBER   TRIP HELP.UBER.COM CA,21.75
12/18/2021,UBER   TRIP HELP.UBER.COM CA,3.26
12/23/2021,2680 AMC PORT CHESTER PORT CHESTER NY,10.61
01/10/2022,MACMILLAN LEARNING 888-330-8477 NY,106.34
05/22/2018,AUTOMATIC PAYMENT - THANK YOU,-2115.18
04/25/2018,MCDONALD'S F748 GREENWICH CT,5.20
04/24/2018,FIVE GUYS-NY #1499 NEWYORK NY,4.67
04/25/2018,RED LOBSTER 0351 SCARSDALE NY,79.47
04/29/2018,METRO-NORTH-MOBILE TICKE 877-690-5114 NY,41.00
04/29/2018,AMERICAN STEAKHOUSE - NORWALK CT,44.64
05/05/2018,WHOLEFDS GRW 10057 GREENWICH CT,11.54
05/12/2018,CENTRAL SEAFOOD HARTSDALE NY,37.60
05/11/2018,CONNECTICUT NATURAL U0A 860-5248361 CT,58.50
05/13/2018,TANDORI TASTE OF INDIA WHITE PLAINS NY,74.43
05/16/2018,#1 ISTANBUL KEBAB HOUSE NEW YORK NY,19.00
05/21/2018,YEARBOOK 877-723-6344 6603763543 MO,71.52
05/20/2018,POLLO A LA BRASA MISTI RE PORT CHESTER NY,223.61
05/21/2018,PAYPAL *CALLAWYGOLF 402-935-7733 CA,39.70
05/22/2018,TST* GO! GO! CURRY - TIME NEW YORK NY,13.66
09/09/2018,BURLNGTON STORES445 STAMFORD CT,-7.43
09/21/2018,AUTOMATIC PAYMENT - THANK YOU,-1154.98
08/25/2018,H MART HARTSDALE HARTSDALE NY,9.45
08/24/2018,MCDONALD'S F7552 NEW YORK NY,1.09
08/25/2018,TRADER JOE'S #533  QPS HARTSDALE NY,12.51
08/26/2018,METRO-NORTH-MOBILE TICKE 877-690-5114 NY,41.00
08/25/2018,MCDONALD'S F748 GREENWICH CT,5.20
08/26/2018,GOLD CITY SUPERMARKET FLUSHING NY,153.08
09/01/2018,KOHL'S #0397 PORT CHESTER NY,2.42
08/31/2018,MCDONALD'S F7552 NEW YORK NY,1.09
09/01/2018,HOMEGOODS #0507 PORT CHESTER NY,3.22
09/01/2018,HOMEGOODS #0507 PORT CHESTER NY,5.37
09/01/2018,GOOD FORTUNE SUPERMARKET FLUSHING NY,47.54
09/02/2018,TRADER JOE'S #522  QPS DARIEN CT,22.27
09/01/2018,GYROWORLD FLUSHING NY,45.14
09/02/2018,AMERICAN STEAKHOUSE - NORWALK CT,44.64
09/02/2018,MAIN STREET GAS PORT CHESTER NY,26.45
09/02/2018,MCDONALD'S F3345 RIVERSIDE CT,4.88
09/03/2018,H MART HARTSDALE HARTSDALE NY,33.41
09/01/2018,61492 - FLUSHING COMMONS FLUSHING NY,3.00
09/06/2018,MCDONALD'S F6971 NEW YORK NY,1.09
09/06/2018,MCDONALD'S F6971 NEW YORK NY,1.09
09/08/2018,MCDONALD'S F748 GREENWICH CT,1.06
09/08/2018,MCDONALD'S F748 GREENWICH CT,2.13
09/09/2018,TRADER JOE'S #533  QPS HARTSDALE NY,29.07
09/09/2018,BURLNGTON STORES445 STAMFORD CT,15.92
09/09/2018,RED LOBSTER 0351 SCARSDALE NY,103.61
09/10/2018,MCDONALD'S F6971 NEW YORK NY,1.09
09/12/2018,CHILDRENS MEDICAL GROUP GREENWICH CT,10.00
09/12/2018,SHOPRITE CMMERCE ST S1 STAMFORD CT,20.47
09/12/2018,MCDONALD'S F748 GREENWICH CT,2.13
09/12/2018,MCDONALD'S F748 GREENWICH CT,1.06
09/12/2018,Yellowtail Hibachi & Sush STAMFORD CT,29.51
09/13/2018,MCDONALD'S F6971 NEW YORK NY,1.09
09/15/2018,HOMEGOODS #0507 PORT CHESTER NY,24.67
09/15/2018,KFC K485004 PORT CHESTER NY,16.10
09/15/2018,#1 ISTANBUL KEBAB HOUSE NEW YORK NY,19.33
09/14/2018,CONNECTICUT NATURAL U0A 860-5248361 CT,36.27
09/15/2018,RYE PERIODONTICS AND IMPL RYE BROOK NY,292.00
09/16/2018,H MART HARTSDALE HARTSDALE NY,18.72
09/15/2018,4036 Dominos Pizza 203-661-2202 CT,12.74
09/16/2018,BR FACTORY US 6252 CENTRAL VALLE NY,20.81
09/15/2018,APPLE FARM PORT CHESTER NY,11.52
09/15/2018,MCDONALD'S F748 GREENWICH CT,1.06
09/15/2018,MCDONALD'S F748 GREENWICH CT,2.13
09/16/2018,GAP OUTLET US 7774 CENTRAL VALLE NY,26.02
09/16/2018,YCC STORE 00307 CENTRAL VALLE NY,8.65
09/16/2018,OSHKOSH #0030 CENTRAL VALLE NY,8.31
09/16/2018,MCDONALD'S F748 GREENWICH CT,1.06
09/16/2018,MCDONALD'S F748 GREENWICH CT,2.13
09/16/2018,TIMBERLAND #329 CENTRAL VLY NY,72.87
09/16/2018,SOUTH PHILLY  4240 CENTRAL VALLE NY,12.10
09/16/2018,LESPORTSAC CENTRAL NY,62.51
09/21/2018,MCDONALD'S F748 GREENWICH CT,2.13
09/21/2018,SHOPRITE CMMERCE ST S1 STAMFORD CT,34.01
09/22/2018,H MART HARTSDALE HARTSDALE NY,17.22
09/21/2018,SHOPRITE CMMERCE ST S1 STAMFORD CT,24.88
09/22/2018,KOHL'S #0397 PORT CHESTER NY,8.60
09/21/2018,MCDONALD'S F748 GREENWICH CT,1.06
09/22/2018,TRADER JOE'S #533  QPS HARTSDALE NY,15.51
